date,total_value
2001-07-03,91173.26
2001-07-05,86799.83
2001-07-06,83205.23
2001-07-09,83924.15
2001-07-10,80908.68
2001-07-11,81907.18
2001-07-12,87099.37999999999
2001-07-13,86200.73
2001-07-16,84603.12999999999
2001-07-17,86500.27999999998
2001-07-18,83205.23
2001-07-19,85182.26
2001-07-20,83205.23
2001-07-23,81128.34999999999
2001-07-24,80209.73
2001-07-25,80908.68
2001-07-26,82106.87999999999
2001-07-27,83804.33
2001-07-30,83305.08
2001-07-31,83424.9
2001-08-01,86100.87999999999
2001-08-02,87718.44999999998
2001-08-03,86260.64
2001-08-06,84902.68
2001-08-07,84463.34
2001-08-08,80908.68
2001-08-09,81248.17
2001-08-10,80469.34
2001-08-13,82106.87999999999
2001-08-14,81108.37999999999
2001-08-15,78112.87999999999
2001-08-16,79031.5
2001-08-17,75436.9
2001-08-20,76475.34
2001-08-21,73300.10999999999
2001-08-22,75297.10999999999
2001-08-23,74558.21999999999
2001-08-24,78512.27999999998
2001-08-27,78612.12999999999
2001-08-28,76155.81999999999
2001-08-29,75037.5
2001-08-30,72261.67
2001-08-31,73180.29
2001-09-04,70863.76999999999
2001-09-05,70584.18999999999
2001-09-06,67728.48
2001-09-07,67329.08
2001-09-10,68127.87999999999
2001-09-17,62336.579999999994
2001-09-18,60938.67999999999
2001-09-19,59880.26999999999
2001-09-20,57883.26999999999
2001-09-21,56325.60999999999
2001-09-24,59161.34999999999
2001-09-25,59341.079999999994
2001-09-26,57284.17
2001-09-27,56904.73999999999
2001-09-28,57903.23999999999
2001-10-01,57403.98999999999
2001-10-02,57583.719999999994
2001-10-03,61937.17999999999
2001-10-04,62536.27999999999
2001-10-05,63454.899999999994
2001-10-08,63654.59999999999
2001-10-09,62116.909999999996
2001-10-10,64932.67999999999
2001-10-11,69326.08
2001-10-12,69026.52999999998
2001-10-15,68726.98
2001-10-16,69845.29999999999
2001-10-17,64832.83
2001-10-18,66590.18999999999
2001-10-19,67029.52999999998
2001-10-22,68826.83
2001-10-23,69186.29
2001-10-24,70684.04
2001-10-25,73519.77999999998
2001-10-26,71942.15
2001-10-29,68008.06
2001-10-30,66690.04
2001-10-31,67728.48
2001-11-01,70604.16
2001-11-02,71123.37999999999
2001-11-05,73439.9
2001-11-06,76295.60999999999
2001-11-07,76195.76
2001-11-08,75416.93
2001-11-09,75376.98999999999
2001-11-12,75916.18
2001-11-13,78632.09999999999
2001-11-14,79191.26
2001-11-15,78871.73999999999
2001-11-16,78652.06999999999
2001-11-19,80888.70999999999
2001-11-20,77154.31999999999
2001-11-21,77194.26
2001-11-23,78472.34
2001-11-26,80409.43
2001-11-27,80309.58
2001-11-28,77413.93
2001-11-29,79810.33
2001-11-30,79211.23
2001-12-03,77853.26999999999
2001-12-04,81567.68999999999
2001-12-05,85601.62999999999
2001-12-06,85721.44999999998
2001-12-07,83364.98999999999
2001-12-10,81907.18
2001-12-11,82366.48999999999
2001-12-12,83025.5
2001-12-13,79430.9
2001-12-14,80129.84999999999
2001-12-17,81507.77999999998
2001-12-18,82426.4
2001-12-19,80928.65
2001-12-20,77493.81
2001-12-21,78871.73999999999
2001-12-24,78552.21999999999
2001-12-26,79291.10999999999
2001-12-27,79930.15
2001-12-28,80569.18999999999
2001-12-31,77733.44999999998
2002-01-02,80129.84999999999
2002-01-03,82905.68
2002-01-04,83245.17
2002-01-07,82326.54999999999
2002-01-08,82885.70999999999
2002-01-09,82126.84999999999
2002-01-10,82666.04
2002-01-11,81607.62999999999
2002-01-14,79830.29999999999
2002-01-15,80589.16
2002-01-16,77473.84
2002-01-17,79211.23
2002-01-18,77094.41
2002-01-22,74717.98
2002-01-23,76774.89
2002-01-24,77793.35999999999
2002-01-25,77573.68999999999
2002-01-28,78013.02999999998
2002-01-29,75876.23999999999
2002-01-30,76455.37
2002-01-31,76934.65
2002-02-01,76195.76
2002-02-04,73759.42
2002-02-05,72541.25
2002-02-06,72042.0
2002-02-07,70304.60999999999
2002-02-08,72261.67
2002-02-11,73180.29
2002-02-12,72581.18999999999
2002-02-13,73819.33
2002-02-14,73679.54
2002-02-15,71482.84
2002-02-19,69286.14
2002-02-20,70224.73
2002-02-21,66889.73999999999
2002-02-22,67229.23
2002-02-25,69945.15
2002-02-26,69685.54
2002-02-27,68726.98
2002-02-28,67488.84
2002-03-01,71402.95999999999
2002-03-04,74218.73
2002-03-05,74757.92
2002-03-06,75117.37999999999
2002-03-07,75277.14
2002-03-08,77254.17
2002-03-11,76974.59
2002-03-12,75916.18
2002-03-13,74078.93999999999
2002-03-14,73639.59999999999
2002-03-15,74378.48999999999
2002-03-18,74797.85999999999
2002-03-19,74678.04
2002-03-20,72042.0
2002-03-21,73959.12
2002-03-22,73280.14
2002-03-25,71043.5
2002-03-26,71702.51
2002-03-27,71143.34999999999
2002-03-28,72042.0
2002-04-01,73419.93
2002-04-02,70104.91
2002-04-03,69985.09
2002-04-04,69445.9
2002-04-05,68667.06999999999
2002-04-08,69525.77999999998
2002-04-09,67109.41
2002-04-10,67608.66
2002-04-11,65931.18
2002-04-12,66969.62
2002-04-15,67508.81
2002-04-16,70324.58
2002-04-17,69965.12
2002-04-18,68627.12999999999
2002-04-19,68846.79999999999
2002-04-22,67109.41
2002-04-23,65951.15
2002-04-24,64932.67999999999
2002-04-25,64772.92
2002-04-26,62017.05999999999
2002-04-29,62176.81999999999
2002-04-30,63394.98999999999
2002-05-01,63055.49999999999
2002-05-02,60958.649999999994
2002-05-03,59420.95999999999
2002-05-06,57883.26999999999
2002-05-07,57344.079999999994
2002-05-08,63474.869999999995
2002-05-09,61837.329999999994
2002-05-10,59061.49999999999
2002-05-13,61457.899999999994
2002-05-14,65072.469999999994
2002-05-15,65551.75
2002-05-16,65651.59999999999
2002-05-17,65791.39
2002-05-20,64353.549999999996
2002-05-21,62596.18999999999
2002-05-22,62735.97999999999
2002-05-23,63994.09
2002-05-24,62416.45999999999
2002-05-28,62136.88
2002-05-29,60499.34
2002-05-30,61018.55999999999
2002-05-31,60020.05999999999
2002-06-03,57903.23999999999
2002-06-04,58662.09999999999
2002-06-05,59261.19999999999
2002-06-06,57703.53999999999
2002-06-07,56545.27999999999
2002-06-10,56445.42999999999
2002-06-11,54867.799999999996
2002-06-12,55666.59999999999
2002-06-13,55307.13999999999
2002-06-14,55187.31999999999
2002-06-17,57064.49999999999
2002-06-18,57983.119999999995
2002-06-19,54628.159999999996
2002-06-20,52870.799999999996
2002-06-21,51592.719999999994
2002-06-24,52611.18999999999
2002-06-25,50873.799999999996
2002-06-26,50853.829999999994
2002-06-27,52371.549999999996
2002-06-28,52151.88
2002-07-01,49655.63
2002-07-02,47858.329999999994
2002-07-03,49455.92999999999
2002-07-05,52631.159999999996
2002-07-08,50714.03999999999
2002-07-09,49276.19999999999
2002-07-10,47758.47999999999
2002-07-11,49555.77999999999
2002-07-12,49555.77999999999
2002-07-15,51093.469999999994
2002-07-16,50334.60999999999
2002-07-17,51253.22999999999
2002-07-18,49415.98999999999
2002-07-19,47938.20999999999
2002-07-22,46759.97999999999
2002-07-23,44762.97999999999
2002-07-24,47199.31999999999
2002-07-25,44463.42999999999
2002-07-26,45302.17
2002-07-29,47618.68999999999
2002-07-30,48577.24999999999
2002-07-31,47658.63
2002-08-01,45421.98999999999
2002-08-02,44463.42999999999
