date,total_value,cash,qqq_val,tqqq_val,qqq_qty,tqqq_qty
2015-05-20,102994.66917685146,9680.089176851456,45984.18,47330.4,418,19721
2015-05-21,104021.76917685146,9680.089176851456,46222.44,48119.24,418,19721
2015-05-22,103778.57917685146,9680.089176851456,46176.46,47922.030000000006,418,19721
2015-05-26,101670.03917685145,9680.089176851456,45645.6,46344.35,418,19721
2015-05-27,104575.02917685144,9680.089176851456,46381.28,48513.659999999996,418,19721
2015-05-28,104076.10917685146,9680.089176851456,46276.78,48119.24,418,19721
2015-05-29,103011.38917685146,9680.089176851456,46000.9,47330.4,418,19721
2015-06-01,103560.46917685145,9680.089176851456,46155.56,47724.82,418,19721
2015-06-02,103019.74917685144,9680.089176851456,46009.259999999995,47330.4,418,19721
2015-06-03,103552.10917685146,9680.089176851456,46147.200000000004,47724.82,418,19721
2015-06-04,102214.93917685146,9680.089176851456,45796.08,46738.770000000004,418,19721
2015-06-05,101711.83917685146,9680.089176851456,45687.4,46344.35,418,19721
2015-06-08,99867.38917685146,9680.089176851456,45223.42,44963.88,418,19721
2015-06-09,99594.93917685145,9680.089176851456,45148.18,44766.67,418,19721
2015-06-10,101988.46917685145,9680.089176851456,45766.82,46541.56,418,19721
2015-06-11,102252.55917685147,9680.089176851456,45833.700000000004,46738.770000000004,418,19721
2015-06-12,100693.09917685145,9680.089176851456,45457.5,45555.51,418,19721
2015-06-15,99875.74917685144,9680.089176851456,45231.78,44963.88,418,19721
2015-06-16,100713.99917685146,9680.089176851456,45478.4,45555.51,418,19721
2015-06-17,101233.81917685145,9680.089176851456,45603.799999999996,45949.93,418,19721
2015-06-18,103870.53917685145,9680.089176851456,46268.42,47922.030000000006,418,19721
2015-06-19,102747.29917685146,9680.089176851456,45934.02,47133.19,418,19721
2015-06-22,104269.13917685146,9680.089176851456,46272.6,48316.450000000004,418,19721
2015-06-23,104503.96917685145,9680.089176851456,46310.22,48513.659999999996,418,19721
2015-06-24,103476.86917685145,9680.089176851456,46071.96,47724.82,418,19721
2015-06-25,102990.48917685146,9680.089176851456,45980.0,47330.4,418,19721
2015-06-26,101896.50917685145,9680.089176851456,45674.86,46541.56,418,19721
2015-06-29,97465.49917685144,9680.089176851456,44596.42,43188.99,418,19721
2015-06-30,98215.96917685145,9680.089176851456,44755.259999999995,43780.62,418,19721
2015-07-01,99360.10917685146,9680.089176851456,45110.56,44569.46,418,19721
2015-07-02,99569.85917685146,9680.089176851456,45123.1,44766.67,418,19721
2015-07-06,99070.93917685145,9680.089176851456,45018.6,44372.25,418,19721
2015-07-07,99381.00917685145,9680.089176851456,45131.46,44569.46,418,19721
2015-07-08,96381.52464325645,53981.37464325645,0.0,42400.15,0,19721
2015-07-09,96328.49453904395,911.4945390439607,0.0,95417.0,0,44380
2015-07-10,100268.44410504398,55121.24410504397,0.0,45147.200000000004,0,20155
2015-07-13,102640.91623595897,8958.776235958969,46116.340000000004,47565.799999999996,421,20155
2015-07-14,103750.23623595896,8958.776235958969,46419.46,48372.0,421,20155
2015-07-15,104203.85623595896,8958.776235958969,46469.979999999996,48775.1,421,20155
2015-07-16,106674.56623595896,8958.776235958969,47126.74,50589.049999999996,421,20155
2015-07-17,109787.81623595898,8958.776235958969,47821.39,53007.65,421,20155
2015-07-20,110556.65623595897,8958.776235958969,47985.58,53612.3,421,20155
2015-07-21,110325.63623595897,8958.776235958969,47956.11,53410.75,421,20155
2015-07-22,107968.59623595898,8958.776235958969,47413.020000000004,51596.8,421,20155
2015-07-23,107187.12623595897,8958.776235958969,47236.200000000004,50992.149999999994,421,20155
2015-07-24,105313.17623595896,8958.776235958969,46773.1,49581.3,421,20155
2015-07-27,103716.55623595897,8958.776235958969,46385.780000000006,48372.0,421,20155
2015-07-28,105325.80623595897,8958.776235958969,46785.729999999996,49581.3,421,20155
2015-07-29,106107.27623595897,8958.776235958969,46962.549999999996,50185.950000000004,421,20155
2015-07-30,106935.05623595897,8958.776235958969,47185.68,50790.6,421,20155
2015-07-31,106678.77623595897,8958.776235958969,47130.950000000004,50589.049999999996,421,20155
2015-08-03,106128.32623595897,8958.776235958969,46983.6,50185.950000000004,421,20155
2015-08-04,105838.36623595897,8958.776235958969,46895.19,49984.4,421,20155
2015-08-05,107208.17623595896,8958.776235958969,47257.25,50992.149999999994,421,20155
2015-08-06,104031.77623595897,8958.776235958969,46499.450000000004,48573.55,421,20155
2015-08-07,103771.28623595898,8958.776235958969,46440.51,48372.0,421,20155
2015-08-10,105914.14623595896,8958.776235958969,46970.969999999994,49984.4,421,20155
2015-08-11,103296.61623595897,8958.776235958969,46368.94,47968.9,421,20155
